,Name,Price,Kilometer,Process,Dealer,Address
5271,2020 Toyota Hilux SR (4X4),"$71,980","38,966 km",Automatic,USED Dealer ad,"Robina, QLD"
5272,2018 Mercedes-Benz Vito 114 Bluetec SWB,"$42,980","57,116 km",Automatic,USED Dealer ad,"Acacia Ridge, QLD"
5273,2020 Lexus RX350 F-Sport,"$89,990","31,642 km",Automatic,USED Dealer ad,"Fortitude Valley, QLD"
5274,2011 Toyota Yaris YR,"$10,990","138,358 km",Automatic,USED Dealer ad,"Brendale, QLD"
5275,2015 Kia RIO S,"$9,990","158,000 km",Manual,USED Dealer ad,"Clontarf, QLD"
5276,2013 Nissan Navara ST (4X4),"$22,881","153,502 km",Manual,USED Dealer ad,"Underwood, QLD"
5277,2011 Land Rover Freelander 2 SE (4X4),"$18,990","141,100 km",Automatic,USED Dealer ad,"Strathpine, QLD"
5278,2017 Holden Colorado LTZ (4X4),"$39,990","125,067 km",Automatic,USED Dealer ad,"Mackay, QLD"
5279,2008 Toyota HiAce LWB,"$19,881","325,410 km",Manual,USED Dealer ad,"Underwood, QLD"
5280,2002 Ford Explorer Limited (4X4),"$10,999","247,562 km",Automatic,USED Dealer ad,"Coopers Plains, QLD"
5281,2019 Volkswagen Amarok V6 TDI 550 Highline,"$64,888","28,918 km",Automatic,USED Dealer ad,"Nambour, QLD"
5282,2011 Mazda CX-9 Classic (fwd),"$19,990","167,010 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5283,2018 Holden Colorado LS (4X2),"$32,990","46,456 km",Automatic,USED Dealer ad,"Hermit Park, QLD"
5284,2010 Mazda CX-9 Luxury,"$19,990","131,553 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5285,2013 Ford Ranger XLT 3.2 (4X4),"$32,659","154,000 km",Automatic,USED Dealer ad,"Hendra, QLD"
5286,2021 Suzuki Vitara Turbo,"$31,990","27,000 km",Automatic,,"Stafford, QLD"
5287,2017 Kia Cerato Sport,"$14,990","204,776 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5288,2017 Nissan Qashqai ST (4X2),"$28,000","33,400 km",Automatic,,"Ferny Grove, QLD"
5289,2014 Toyota Corolla Ascent,"$15,995","198,843 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5290,2014 Mercedes-Benz A250 Sport,"$27,990","131,956 km",Automatic,USED Dealer ad,"Kelvin Grove, QLD"
5291,2008 Subaru Forester XS,"$10,990","175,000 km",Automatic,USED Dealer ad,"Coorparoo, QLD"
5292,2019 Toyota Hilux SR5 (4X4),"$59,990","94,741 km",Automatic,USED Dealer ad,"Mackay, QLD"
5293,2017 Ford Ranger XL 3.2 (4X4),"$38,379","160,803 km",Automatic,USED Dealer ad,"Indooroopilly, QLD"
5294,2018 Mercedes-Benz Vito 114 Bluetec LWB,"$53,980","58,551 km",Automatic,USED Dealer ad,"Acacia Ridge, QLD"
5295,2008 Mitsubishi Outlander VR (7 Seat),"$8,990","293,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
5296,2007 Holden Commodore Berlina,"$10,990","122,738 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5297,2018 Nissan Qashqai TI,"$29,990","85,000 km",Automatic,USED Dealer ad,"Newstead, QLD"
5298,2007 Kia Carnival EX,"$9,900","141,000 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5299,2021 BMW X3 Xdrive30I M Sport,"$101,576","1,501 km",Automatic,USED Dealer ad,"Southport, QLD"
5300,2008 Mitsubishi Outlander VR (7 Seat),"$8,990","293,000 km",Automatic,USED Dealer ad,"Clontarf, QLD"
5301,2009 Mazda 3 NEO,"$8,995","173,610 km",Automatic,USED Dealer ad,"Coopers Plains, QLD"
5302,2012 Mitsubishi Triton GL-R (4X4),"$27,990","108,460 km",Manual,USED Dealer ad,"Eagle Farm, QLD"
5303,2007 Chrysler 300C CRD,"$14,660","228,572 km",Automatic,USED Dealer ad,"Woodridge, QLD"
5304,2011 Peugeot 308 Active HDI,"$10,999","132,921 km",Automatic,USED Dealer ad,"Everton Hills, QLD"
5305,2019 Toyota Hilux SR5 (4X4),"$59,490","84,667 km",Automatic,USED Dealer ad,"Kedron, QLD"
5306,2017 Mitsubishi Triton GLX Plus (4X4),"$39,860","96,721 km",Automatic,USED Dealer ad,"Rocklea, QLD"
5307,2010 BMW 323I ,"$15,990","162,677 km",Automatic,USED Dealer ad,"Ashmore, QLD"
5308,2017 Audi SQ5 3.0 Tfsi Quattro,"$84,990","57,805 km",Automatic,USED Dealer ad,"Southport, QLD"
5309,2005 Toyota Corolla Ascent Seca,"$9,999","143,000 km",Automatic,USED Dealer ad,"Archerfield, QLD"
5310,2011 Toyota Rukus Build 1,"$13,990","199,759 km",Automatic,USED Dealer ad,"Springwood, QLD"
5311,2009 Ford Falcon ,"$11,990","186,100 km",Automatic,USED Dealer ad,"Birkdale, QLD"
5312,2004 Toyota Landcruiser Prado Grande (4X4),"$14,990","387,995 km",Automatic,USED Dealer ad,"Birkdale, QLD"
5313,2020 Ford Mustang GT 5.0 V8,"$75,383","3,249 km",Automatic,USED Dealer ad,"Garbutt, QLD"
5314,2021 BMW X3 Sdrive20I,"$84,990","1,501 km",Automatic,USED Dealer ad,"Southport, QLD"
5315,2021 BMW X1 Xdrive 25I M Sport,"$79,990","1,501 km",Automatic,USED Dealer ad,"Southport, QLD"
5316,2016 Toyota Aurion AT-X,"$21,990","101,958 km",Automatic,USED Dealer ad,"Chinchilla, QLD"
5317,2009 Holden Commodore SS-V,"$24,990","152,228 km",Automatic,USED Dealer ad,"Morayfield, QLD"
5318,2017 Mitsubishi Triton GLX,"$25,990","54,777 km",Manual,USED Dealer ad,"Helensvale, QLD"
5319,2015 Holden Barina Spark CD,"$14,990","74,868 km",Automatic,USED Dealer ad,"Aspley, QLD"
5320,2015 Nissan Navara ST (4X4),"$39,886","84,391 km",Automatic,USED Dealer ad,"Ipswich, QLD"
5321,2010 Holden Commodore SS,"$29,990","145,672 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
5322,2021 LDV Deliver 9 Mid Roof MWB,"$57,885","3,353 km",Automatic,USED Dealer ad,"Rocklea, QLD"
5323,2010 Jeep Wrangler Renegade (4X4),"$29,990","165,027 km",Automatic,USED Dealer ad,"Redcliffe, QLD"
5324,2012 Mitsubishi Outlander Aspire (4X4),"$24,990","96,574 km",Automatic,USED Dealer ad,"North Lakes, QLD"
5325,2014 Renault Trafic 2.0 DCI SWB,"$19,990","200,105 km",Manual,USED Dealer ad,"South Toowoomba, QLD"
5326,2016 Toyota Hilux SR5 (4X4),"$52,990","89,071 km",Manual,USED Dealer ad,"Mackay, QLD"
5327,2012 Toyota Hilux SR5 (4X4),"$34,990","228,142 km",Manual,USED Dealer ad,"Oakey, QLD"
5328,2020 Ford Ranger Wildtrak 3.2 (4X4),"$74,888","15,720 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
5329,2010 Mazda 6 Classic,"$13,999","124,000 km",Automatic,USED Dealer ad,"Archerfield, QLD"
5330,2007 Ford Focus XR5 Turbo,"$16,999","112,000 km",Manual,USED Dealer ad,"Archerfield, QLD"
5331,2017 Toyota Landcruiser VX (4X4),"$95,000","183,500 km",Automatic,USED Dealer ad,"Cairns, QLD"
5332,2009 Volkswagen Tiguan 103 TDI,"$9,900","265,000 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5333,2016 Holden Colorado LT (4X4),"$26,881","292,302 km",Automatic,USED Dealer ad,"Underwood, QLD"
5334,2014 Mitsubishi Outlander LS (4X2),"$20,990","103,827 km",Automatic,USED Dealer ad,"Redcliffe, QLD"
5335,2016 Mitsubishi Lancer ES Sport,"$18,888","106,576 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5336,2017 Porsche Macan GTS,"$104,900","80,651 km",Automatic,USED Dealer ad,"Newstead, QLD"
5337,2007 Toyota Corolla Ascent,"$10,995","133,034 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5338,2005 Toyota Corolla Ascent,"$7,995","188,445 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5339,2014 Volkswagen Polo 81 TSI Comfortline,"$11,995","168,404 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5340,2013 Mazda 3 Maxx Sport,"$15,980","121,177 km",Manual,USED Dealer ad,"Hendra, QLD"
5341,2021 BMW X3 Xdrive30I M Sport,"$101,576","1,501 km",Automatic,USED Dealer ad,"Southport, QLD"
5342,2018 Toyota C-HR Koba (2WD),"$37,990","13,001 km",Automatic,USED Dealer ad,"Goondiwindi, QLD"
5343,2008 Holden Commodore SS,"$23,200","212,100 km",Manual,USED Dealer ad,"Birkdale, QLD"
5344,2022 Nissan Leaf E+,"$65,500","1,853 km",Automatic,USED Dealer ad,"Indooroopilly, QLD"
5345,2013 Hyundai Imax ,"$17,989","168,266 km",Automatic,USED Dealer ad,"Wacol, QLD"
5346,2018 Mitsubishi Triton Blackline Double Cab,"$49,990","56,722 km",Automatic,USED Dealer ad,"Nundah, QLD"
5347,2015 Mazda 2 NEO,"$14,988","95,465 km",Manual,USED Dealer ad,"Springwood, QLD"
5348,2016 Mercedes-Benz Vito 114 Bluetec SWB,"$33,990","70,682 km",Manual,USED Dealer ad,"Hermit Park, QLD"
5349,2016 Holden UTE SS-V Redline,"$69,988","48,242 km",Automatic,USED Dealer ad,"Springwood, QLD"
5350,2014 Mitsubishi Challenger (4X4),"$29,990","116,822 km",Manual,USED Dealer ad,"Redcliffe, QLD"
5351,2020 BMW M235I Xdrive Gran Coupe,"$74,990","21,597 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5352,2019 Mitsubishi ASX LS (2WD),"$26,500","40,000 km",Automatic,,"Hervey Bay, QLD"
5353,2014 Mitsubishi Triton GLX (4X4),"$17,777","211,411 km",Manual,USED Dealer ad,"Chevallum, QLD"
5354,2009 Toyota Hiace LWB,"$16,987","318,760 km",Manual,USED Dealer ad,"Birkdale, QLD"
5355,2005 Mazda 3 SP23,"$7,999","246,000 km",Manual,USED Dealer ad,"Archerfield, QLD"
5356,2010 Honda City VTI,"$7,999","223,105 km",Manual,USED Dealer ad,"Springwood, QLD"
5357,2017 Jaguar F-Type V6 400 Sport (294KW),"$77,700","47,000 km",Automatic,USED Dealer ad,"Greenslopes, QLD"
5358,2017 Ford Ranger XL 3.2 (4X4),"$35,667","139,011 km",Automatic,USED Dealer ad,"Garbutt, QLD"
5359,2009 Audi Q7 3.0 TDI Quattro,"$19,990","228,305 km",Automatic,USED Dealer ad,"Albion, QLD"
5360,2021 Ford Ranger Raptor X,"$87,950","8,754 km",Automatic,USED Dealer ad,"Arundel, QLD"
5361,2018 Toyota Hilux SR5 (4X4),"$61,490","95,236 km",Automatic,USED Dealer ad,"Kedron, QLD"
5362,2021 Ford Ranger Raptor 2.0 (4X4),"$89,990","20,123 km",Automatic,USED Dealer ad,"West Gladstone, QLD"
5363,2019 Mini 5D Hatch Cooper S,"$47,999","40,727 km",Automatic,USED Dealer ad,"Chermside, QLD"
5364,2014 Skoda Fabia 77 TSI,"$13,990","60,041 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5365,2016 Mazda BT-50 XTR 4x2 Hi-Rider,"$38,990","132,064 km",Automatic,USED Dealer ad,"Mackay, QLD"
5366,2017 Ford Ranger XLT 3.2 HI-Rider (4X2),"$44,194","151,610 km",Automatic,USED Dealer ad,"Rocklea, QLD"
5367,2005 Toyota Landcruiser Prado GXL (4X4),"$24,990","255,173 km",Automatic,USED Dealer ad,"Morayfield, QLD"
5368,2019 Suzuki Vitara Turbo (2WD),"$34,990","10,130 km",Automatic,USED Dealer ad,"Cairns, QLD"
5369,2020 Toyota Hilux SR5+ (4X4),"$72,990","33,980 km",Automatic,USED Dealer ad,"Warwick, QLD"
5370,2017 Subaru Impreza 2.0S (awd),"$26,990","89,300 km",Automatic,USED Dealer ad,"Oakey, QLD"
5371,2020 Mercedes-Benz GLC43 4Matic,"$124,990","26,876 km",Automatic,USED Dealer ad,"Southport, QLD"
5372,2006 Mazda 3 Maxx Sport,"$7,999","175,000 km",Manual,USED Dealer ad,"Archerfield, QLD"
5373,2011 Mitsubishi Triton GLX,"$16,800","92,730 km",Manual,USED Dealer ad,"Birkdale, QLD"
5374,2021 Audi A4 45 Tfsi Quattro S Line Mhev,"$84,990","2,647 km",,DEMO,"Southport, QLD"
5375,2020 Volkswagen Amarok TDI550 Highline 4Motion (4X4),"$59,990","48,667 km",Automatic,USED Dealer ad,"Roma, QLD"
5376,2014 Nissan X-Trail ST (4X4),"$16,900","137,000 km",Automatic,USED Dealer ad,"Greenslopes, QLD"
5377,2007 Volvo C30 T5,"$13,990","149,322 km",Automatic,USED Dealer ad,"Kelvin Grove, QLD"
5378,2012 Suzuki Grand Vitara (4X4),"$17,990","136,200 km",Manual,USED Dealer ad,"Strathpine, QLD"
5379,2019 Mercedes-Benz GLC200 ,"$67,800","35,597 km",Automatic,USED Dealer ad,"Mansfield, QLD"
5380,2018 Mitsubishi Outlander LS 7 Seat (awd),"$31,985","85,646 km",Automatic,USED Dealer ad,"Capalaba, QLD"
5381,2017 Kia Sportage SI (fwd),"$26,990","87,345 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5382,2004 Toyota Corolla Ascent,"$9,200","198,741 km",Automatic,USED Dealer ad,"Woodridge, QLD"
5383,2017 BMW X6 M50d Coupe Steptronic,"$103,888","26,109 km",Automatic,USED Dealer ad,"Albion, QLD"
5384,2009 Land Rover Range Rover Sport 2.7 TDV6,"$26,990","181,000 km",Automatic,USED Dealer ad,"Sumner, QLD"
5385,2014 Nissan X-Trail ST 7 Seat (fwd),"$22,990","99,592 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5386,2018 Toyota Hilux SR5 (4X4),"$56,490","82,024 km",Automatic,USED Dealer ad,"Nundah, QLD"
5387,2010 Mitsubishi Delica ,"$21,000","115,000 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5388,2017 Hyundai Tucson Elite (awd),"$30,990","128,083 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5389,2016 Holden UTE SS-V Redline,"$64,987","100,295 km",Manual,USED Dealer ad,"Moorooka, QLD"
5390,2017 Toyota Hilux SR5 (4X4),"$52,990","132,239 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5391,2018 Ford Ranger Raptor 2.0 (4X4),"$75,990","118,269 km",Automatic,USED Dealer ad,"Pialba, QLD"
5392,2019 Mini 3D Hatch Cooper S,"$47,750","36,989 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5393,2016 Mitsubishi ASX LS (2WD),"$21,888","129,839 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5394,2014 Honda Jazz VTI,"$14,990","120,339 km",Automatic,USED Dealer ad,"Townsville, QLD"
5395,2011 Ford Focus Trend,"$10,875","124,362 km",Automatic,USED Dealer ad,"Capalaba, QLD"
5396,2013 Subaru Forester 2.5I,"$21,990","148,708 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
5397,2016 Toyota Landcruiser GXL (4X4),"$81,990","148,522 km",Manual,USED Dealer ad,"Cairns, QLD"
5398,1998 Ford Falcon GLI,"$5,999","228,738 km",Manual,USED Dealer ad,"Rocklea, QLD"
5399,2016 Volkswagen Golf GTI,"$31,800","59,624 km",Automatic,USED Dealer ad,"Springwood, QLD"
5400,2017 Mitsubishi Pajero GLX LWB (4X4),"$44,886","118,175 km",Automatic,USED Dealer ad,"Ipswich, QLD"
5401,2021 Hyundai Staria Load 2S 2.2D Liftback,"$44,888","24,899 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5402,2018 Toyota Landcruiser Prado Kakadu (4X4),"$80,999","79,095 km",Automatic,USED Dealer ad,"Woolloongabba, QLD"
5403,2011 Mercedes-Benz E-CLASS Aventgarde,"$21,990","170,045 km",,USED Dealer ad,"Springwood, QLD"
5404,2019 Mini 3D Hatch Cooper S,"$45,990","23,432 km",Automatic,USED Dealer ad,"Aspley, QLD"
5405,2021 Ford Ranger Wildtrak X 2.0 (4X4),"$68,990","22,134 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5406,2009 Nissan Maxima 350 TI,"$12,990","145,856 km",Automatic,USED Dealer ad,"Pinkenba, QLD"
5407,2019 BMW 840I M-Sport Gran Coupe,"$153,888","21,312 km",Automatic,USED Dealer ad,"Albion, QLD"
5408,2017 Ford Ranger Wildtrak 3.2 (4X4),"$54,490","91,189 km",Manual,USED Dealer ad,"Mackay, QLD"
5409,2013 Hyundai Iload ,"$25,990","133,000 km",Automatic,USED Dealer ad,"Cairns, QLD"
5410,2013 Hyundai IX35 SE (fwd),"$17,990","121,319 km",Automatic,USED Dealer ad,"Hendra, QLD"
5411,2018 Mercedes-Benz Vito 114 Bluetec SWB,"$56,980","43,237 km",Automatic,USED Dealer ad,"Robina, QLD"
5412,2011 Ford Falcon XR6,"$15,564","241,360 km",Automatic,USED Dealer ad,"Hendra, QLD"
5413,2013 Hyundai I30 Active,"$10,999","192,449 km",Automatic,USED Dealer ad,"Clontarf, QLD"
5414,2008 Land Rover Freelander 2 SE TD4 (4X4),"$14,990","174,690 km",Automatic,USED Dealer ad,"Mooloolaba, QLD"
5415,2017 Suzuki Vitara RT-S,"$21,990","95,740 km",Manual,USED Dealer ad,"Toowoomba, QLD"
5416,2016 Land Rover Range Rover Evoque TD4 150 SE,"$49,990","53,980 km",Automatic,USED Dealer ad,"Aspley, QLD"
5417,2020 Toyota Hilux SR5 (4X4),"$69,990","9,940 km",Manual,USED Dealer ad,"Salisbury, QLD"
5418,2017 Ford Ranger XL 3.2 (4X4),"$41,990","158,928 km",Automatic,USED Dealer ad,"Hillcrest, QLD"
5419,2014 Mazda 6 GT,"$21,888","147,397 km",Automatic,USED Dealer ad,"Maroochydore, QLD"
5420,2010 Mercedes-Benz C200 CGI,"$11,995","168,094 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5421,2011 Kia Sportage SI (fwd),"$13,995","198,138 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5422,2020 Toyota Hilux SR5 (4X4),"$70,869","35,383 km",Automatic,USED Dealer ad,"Garbutt, QLD"
5423,2008 BMW X5 3.0D,"$13,997","223,000 km",Automatic,USED Dealer ad,"Sippy Downs, QLD"
5424,2013 Hyundai Accent Active,"$7,900","210,000 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
5425,2014 Toyota Corolla Ascent,"$17,499","88,660 km",Automatic,USED Dealer ad,"Garbutt, QLD"
5426,2019 Ford Ranger Wildtrak 3.2 (4X4),"$84,490","36,936 km",Automatic,USED Dealer ad,"Cairns City, QLD"
5427,2017 Ford Transit Custom 290S (swb),"$34,999","176,000 km",Automatic,USED Dealer ad,"Coorparoo, QLD"
5428,2018 Lexus RX450H F Sport Hybrid,"$85,990","58,547 km",Automatic,USED Dealer ad,"Fortitude Valley, QLD"
5429,2014 Volkswagen Tiguan 132 TSI Pacific,"$16,500","138,000 km",Automatic,USED Dealer ad,"Sumner, QLD"
5430,2012 Nissan X-Trail ST (fwd),"$11,990","192,362 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
5431,2021 Ford Ranger Wildtrak 2.0 (4X4),"$73,990",900 km,Automatic,USED Dealer ad,"Emerald, QLD"
5432,2007 Nissan Patrol ST (4X4),"$28,995","254,899 km",Manual,USED Dealer ad,"Loganholme, QLD"
5433,2021 Toyota Hilux SR5 (4X4),"$70,490","17,917 km",Manual,USED Dealer ad,"Salisbury, QLD"
5434,2019 Holden Colorado Z71 (4X4),"$55,990","85,030 km",Automatic,USED Dealer ad,"Mackay, QLD"
5435,2011 Mini Cooper Cooper D Steptronic Chilli,"$18,990","78,371 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5436,2010 Toyota HIACE welcab ,"$29,999","162,741 km",Automatic,USED Dealer ad,"Deagon, QLD"
5437,2018 Toyota Landcruiser Prado GXL (4X4),"$71,990","90,821 km",Automatic,USED Dealer ad,"Dalby, QLD"
5438,2021 BMW 330I Touring M Sport,"$94,990","1,501 km",Automatic,USED Dealer ad,"Southport, QLD"
5439,2018 Mazda CX-5 Akera (4X4),"$42,990","55,607 km",Automatic,USED Dealer ad,"Woolloongabba, QLD"
5440,2020 Toyota HiAce LWB,"$52,988","24,091 km",Automatic,USED Dealer ad,"Springwood, QLD"
5441,2005 Volkswagen Transporter (SWB),"$16,995","210,401 km",Manual,USED Dealer ad,"Loganholme, QLD"
5442,2019 Peugeot Expert 150 HDI Long,"$41,990","39,880 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5443,2017 Toyota Corolla SX,"$18,990","167,790 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5444,1994 Nissan Navara DX,"$6,990","250,000 km",Manual,USED Dealer ad,"Kedron, QLD"
5445,2016 Mitsubishi Triton GLX,"$27,990","49,904 km",Manual,USED Dealer ad,"Helensvale, QLD"
5446,2021 Ford Ranger Wildtrak 2.0 (4x4),"$74,990","5,504 km",Automatic,USED Dealer ad,"Bungalow, QLD"
5447,2014 Ford Transit 350L (Mid Roof),"$40,990","138,787 km",Manual,USED Dealer ad,"Slacks Creek, QLD"
5448,2009 Ford Falcon XR6,"$14,990","224,446 km",Automatic,USED Dealer ad,"Slacks Creek, QLD"
5449,2021 Ford Ranger Wildtrak 3.2 (4X4),"$72,990","6,096 km",Automatic,USED Dealer ad,"Salisbury, QLD"
5450,2021 Ford Ranger Wildtrak 2.0 (4X4),"$73,990","3,603 km",Automatic,USED Dealer ad,"Emerald, QLD"
5451,2020 Toyota Hilux SR (4X4),"$60,888","30,382 km",Manual,USED Dealer ad,"Nambour, QLD"
5452,2017 Land Rover Discovery SD4 HSE,"$89,490","70,536 km",Automatic,USED Dealer ad,"Pinkenba, QLD"
5453,2010 Great Wall X240 (4X4),"$9,400","176,467 km",Manual,USED Dealer ad,"Woodridge, QLD"
5454,2008 Mitsubishi Triton GLX (4X4),"$17,990","274,441 km",Manual,USED Dealer ad,"Capalaba, QLD"
5455,2009 Mercedes-Benz C200 Kompressor Elegance,"$16,211","199,201 km",Automatic,USED Dealer ad,"Underwood, QLD"
5456,2015 Holden Commodore SV6,"$27,990","163,828 km",Automatic,USED Dealer ad,"North Lakes, QLD"
5457,2009 Ford Falcon ,"$11,989","221,011 km",Automatic,USED Dealer ad,"Morayfield, QLD"
5458,2003 Ford Falcon XL SE,"$12,990","271,451 km",Automatic,USED Dealer ad,"Capalaba, QLD"
5459,2012 Chrysler 300 C Luxury,"$20,000","117,309 km",Automatic,,"Nerang, QLD"
5460,2013 Holden Colorado 7 LT (4X4),"$28,990","233,550 km",Automatic,USED Dealer ad,"Hermit Park, QLD"
5461,2007 Holden Rodeo LX (4X4),"$18,990","198,053 km",Manual,USED Dealer ad,"Hendra, QLD"
5462,2015 Hyundai Accent Active,"$15,990","156,335 km",Automatic,USED Dealer ad,"Springwood, QLD"
5463,2017 Mitsubishi Triton GLX,"$17,990","223,471 km",Automatic,USED Dealer ad,"Eagle Farm, QLD"
5464,2005 Mazda Bravo DX 4x2,"$10,990","156,756 km",Manual,USED Dealer ad,"Archerfield, QLD"
5465,2014 Mazda 3 Maxx,"$14,990","114,430 km",Manual,USED Dealer ad,"Brendale, QLD"
5466,2018 Mercedes-Benz Glb 250 CLA220 d DCT,"$41,999","87,527 km",Automatic,USED Dealer ad,"Everton Hills, QLD"
5467,2012 Hyundai Iload ,"$15,990","284,546 km",Automatic,USED Dealer ad,"Archerfield, QLD"
5468,2009 Hyundai I30 CW SLX 2.0,"$7,999","264,905 km",Automatic,USED Dealer ad,"Ashmore, QLD"
5469,2007 Toyota Hilux SR,"$14,990","239,065 km",Manual,USED Dealer ad,"Capalaba, QLD"
5470,2002 Nissan Patrol ST (4X4),"$15,990","297,750 km",Manual,USED Dealer ad,"Capalaba, QLD"
5471,2013 Subaru XV 2.0I,"$13,990","233,400 km",Manual,USED Dealer ad,"Strathpine, QLD"
5472,2001 Toyota Landcruiser Prado RV6 (4X4),"$7,000","398,982 km",Manual,USED Dealer ad,"Gladstone, QLD"
5473,2009 Toyota HiAce LWB,"$18,990","292,600 km",Automatic,USED Dealer ad,"South Toowoomba, QLD"
5474,2017 Hyundai I30 Active,"$23,500","62,000 km",Automatic,,"Drewvale, QLD"
5475,2018 Toyota Hilux SR (4X4),"$56,596","136,913 km",Automatic,USED Dealer ad,"Hendra, QLD"
5476,2011 Toyota FJ Cruiser ,"$39,990","161,318 km",Automatic,USED Dealer ad,"Toowoomba, QLD"
5477,2011 Volvo S40 T5 S,"$9,995","148,369 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5478,2011 Holden Commodore SV6,"$19,995","147,715 km",Manual,USED Dealer ad,"Moorooka, QLD"
5479,2010 Volkswagen Golf 103 TDI Comfortline,"$9,995","192,684 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5480,2014 Mitsubishi Triton GLX,"$24,995","149,141 km",Manual,USED Dealer ad,"Capalaba, QLD"
5481,2014 Mini Cooper ,"$23,800","88,970 km",Automatic,USED Dealer ad,"Kedron, QLD"
5482,2016 Nissan X-Trail TS (4X4),"$11,200","241,000 km",Manual,USED Dealer ad,"Greenslopes, QLD"
5483,2018 Toyota C-HR Koba (2WD),"$33,990","24,882 km",Automatic,USED Dealer ad,"Alexandra Headland, QLD"
5484,2018 Lexus RX300 Luxury,"$57,990","87,149 km",Automatic,USED Dealer ad,"Indooroopilly, QLD"
5485,2010 Ford Ranger XLT (4X4),"$24,990","174,526 km",Automatic,USED Dealer ad,"Eagle Farm, QLD"
5486,2006 Nissan El Grande ,"$13,990","199,888 km",Automatic,USED Dealer ad,"Morayfield, QLD"
5487,2019 Mitsubishi Outlander ES 7 Seat (2WD),"$32,985","51,563 km",Automatic,USED Dealer ad,"Capalaba, QLD"
5488,2012 Ford Falcon XR6,"$12,990","301,232 km",Automatic,USED Dealer ad,"Morayfield, QLD"
5489,2010 Toyota Corolla Conquest,"$11,990","176,483 km",Automatic,USED Dealer ad,"Molendinar, QLD"
5490,2017 Toyota Land Cruiser Prado ,"$71,990","74,998 km",Automatic,USED Dealer ad,"Booval, QLD"
5491,2016 Hyundai Veloster Street Turbo Special Edition,"$23,000","83,500 km",Automatic,,"Hendra, QLD"
5492,2016 Ford Ranger XLT 3.2 (4X4),"$41,951","156,525 km",Manual,USED Dealer ad,"Hendra, QLD"
5493,2013 Volkswagen Passat 130 TDI Highline,"$14,995","127,384 km",Automatic,USED Dealer ad,"Moorooka, QLD"
5494,2015 Mini Cooper 5D Hatch,"$20,490","146,146 km",Automatic,USED Dealer ad,"Eagle Farm, QLD"
5495,2015 Volkswagen Polo 66 TSI Trendline,"$9,980","218,061 km",Manual,USED Dealer ad,"Hendra, QLD"
5496,2005 Toyota Kluger CV (4X4),"$12,999","79,000 km",Automatic,USED Dealer ad,"Archerfield, QLD"
5497,2014 Holden Commodore Evoke,"$10,992","278,007 km",Automatic,USED Dealer ad,"Hendra, QLD"
5498,2009 Mazda 3 Maxx Sport,"$7,990","215,404 km",Manual,USED Dealer ad,"Southport, QLD"
5499,2017 Ford Ranger 3.2 XL Plus (4X4),"$47,990","60,411 km",Automatic,USED Dealer ad,"Helensvale, QLD"
5500,2010 Mazda CX-7 Diesel Sports (4X4),"$10,990","157,317 km",Manual,USED Dealer ad,"Southport, QLD"
5501,2012 Mazda 2 NEO,"$9,990","204,112 km",Automatic,USED Dealer ad,"Bungalow, QLD"
5502,2019 Mercedes-Benz GLE300 D 4Matic,"$112,990","42,961 km",Automatic,USED Dealer ad,"Springwood, QLD"
5503,2011 Suzuki Swift GL,"$10,990","195,145 km",Automatic,USED Dealer ad,"Caloundra West, QLD"
5504,2021 Ford Ranger Raptor 2.0 (4X4),"$81,990","65,768 km",Automatic,USED Dealer ad,"Kedron, QLD"
